,Player,From,To,Pos,Ht,Wt,Birth Date,Colleges,Years Played,Height(cm)
20,Jaylen Adams|adamsja01,2019,2021,G,6-0,225.0,May 4 1996,St. Bonaventure,2,182.88
23,Steven Adams|adamsst01,2014,2021,C,6-11,265.0,July 20 1993,Pitt,7,210.82
25,Bam Adebayo|adebaba01,2018,2021,C-F,6-9,255.0,July 18 1997,Kentucky,3,205.74
44,LaMarcus Aldridge|aldrila01,2007,2021,F-C,6-11,250.0,July 19 1985,Texas,14,210.82
54,Nickeil Alexander-Walker|alexani01,2020,2021,G,6-6,205.0,September 2 1998,Virginia Tech,1,198.12
59,Grayson Allen|allengr01,2019,2021,G,6-4,198.0,October 8 1995,Duke,2,193.04
60,Jarrett Allen|allenja01,2018,2021,C-F,6-11,243.0,April 21 1998,Texas,3,210.82
100,Kyle Anderson|anderky01,2015,2021,F-G,6-9,230.0,September 20 1993,UCLA,6,205.74
114,Giannis Antetokounmpo|antetgi01,2014,2021,F-G,6-11,242.0,December 6 1994,,7,210.82
115,Kostas Antetokounmpo|antetko01,2019,2021,F,6-10,200.0,November 20 1997,Dayton,2,208.28
116,Thanasis Antetokounmpo|antetth01,2016,2021,F,6-6,219.0,July 18 1992,,5,198.12
117,Carmelo Anthony|anthoca01,2004,2021,F,6-7,238.0,May 29 1984,Syracuse,17,200.66
122,OG Anunoby|anunoog01,2018,2021,F,6-7,232.0,July 17 1997,Indiana,3,200.66
128,Ryan Arcidiacono|arcidry01,2018,2021,G,6-3,195.0,March 26 1994,Villanova,3,190.5
157,D.J. Augustin|augusdj01,2009,2021,G,5-11,183.0,November 10 1987,Texas,12,180.34
169,Deandre Ayton|aytonde01,2019,2021,C,6-11,250.0,July 23 1998,Arizona,2,210.82
176,Dwayne Bacon|bacondw01,2018,2021,G,6-6,221.0,August 30 1995,Florida State,3,198.12
181,Marvin Bagley|baglema01,2019,2021,F,6-11,235.0,March 14 1999,Duke,2,210.82
198,Lonzo Ball|balllo01,2018,2021,G,6-6,190.0,October 27 1997,UCLA,3,198.12
201,Mohamed Bamba|bambamo01,2019,2021,C,7-0,231.0,May 12 1998,Texas,2,213.36
218,Harrison Barnes|barneha02,2013,2021,F,6-8,225.0,May 30 1992,UNC,8,203.2
235,RJ Barrett|barrerj01,2020,2021,G-F,6-6,214.0,June 14 2000,Duke,1,198.12
