,Player,Years Played,Height(cm),FT Pct
20,Jaylen Adams,2,182.88,0.778
23,Steven Adams,7,210.82,0.5506249999999999
25,Bam Adebayo,3,205.74,0.75
44,LaMarcus Aldridge,14,210.82,0.7993999999999999
54,Nickeil Alexander-Walker,1,198.12,0.7294999999999999
59,Grayson Allen,2,193.04,0.8353333333333334
60,Jarrett Allen,3,210.82,0.7578333333333332
100,Kyle Anderson,6,205.74,0.7051428571428572
114,Giannis Antetokounmpo,7,210.82,0.7030000000000001
115,Kostas Antetokounmpo,2,208.28,0.5
116,Thanasis Antetokounmpo,5,198.12,0.5395000000000001
117,Carmelo Anthony,17,200.66,0.81085
122,OG Anunoby,3,200.66,0.66525
128,Ryan Arcidiacono,3,190.5,0.8042499999999999
157,D.J. Augustin,12,180.34,0.8675789473684211
169,Deandre Ayton,2,210.82,0.742
176,Dwayne Bacon,3,198.12,0.7372500000000001
181,Marvin Bagley,2,210.82,0.676
198,Lonzo Ball,3,198.12,0.5042500000000001
201,Mohamed Bamba,2,213.36,0.625
218,Harrison Barnes,8,203.2,0.7949999999999999
235,RJ Barrett,1,198.12,0.679
244,Will Barton,8,198.12,0.7710909090909092
252,Keita Bates-Diop,2,203.2,0.7177499999999999
261,Nicolas Batum,12,203.2,0.8466923076923076
268,Aron Baynes,8,208.28,0.7893749999999999
270,Kent Bazemore,8,193.04,0.6983076923076924
271,Darius Bazley,1,203.2,0.7090000000000001
273,Bradley Beal,8,190.5,0.8083333333333332
280,Malik Beasley,4,193.04,0.8075714285714286
297,Jordan Bell,3,203.2,0.6982
302,DeAndre' Bembry,4,195.58,0.53325
327,Dāvis Bertāns,4,208.28,0.8392
330,Patrick Beverley,8,185.42000000000002,0.761
347,Khem Birch,3,205.74,0.7127500000000001
353,Goga Bitadze,1,210.82,0.78
354,Bismack Biyombo,9,203.2,0.5608
355,Nemanja Bjelica,5,208.28,0.7788333333333332
375,Eric Bledsoe,10,185.42000000000002,0.7689230769230769
390,Bogdan Bogdanović,3,198.12,0.8242499999999999
391,Bojan Bogdanović,6,203.2,0.856
395,Bol Bol,1,218.44,0.8
398,Marques Bolden,1,208.28,0.625
405,Jordan Bone,1,187.96,
407,Isaac Bonga,2,203.2,0.693
412,Devin Booker,5,195.58,0.8598333333333334
430,Chris Boucher,3,205.74,0.8076666666666666
434,Brian Bowen,1,198.12,1.0
457,Avery Bradley,10,190.5,0.7918000000000001
466,Tony Bradley,3,208.28,0.6880000000000001
477,Jarrell Brantley,1,195.58,0.5
481,Ignas Brazdeikis,1,198.12,0.9
497,Mikal Bridges,2,198.12,0.8216666666666667
498,Miles Bridges,2,198.12,0.8380000000000001
512,Malcolm Brogdon,4,195.58,0.8943999999999999
517,Dillon Brooks,3,200.66,0.76425
526,Bruce Brown,2,193.04,0.7386666666666667
541,Jaylen Brown,4,198.12,0.6970000000000001
552,Moses Brown,1,218.44,0.4375
562,Sterling Brown,3,195.58,0.84125
565,Troy Brown,2,198.12,0.746
570,Jalen Brunson,2,185.42000000000002,0.8166666666666665
577,Thomas Bryant,3,208.28,0.68625
592,Reggie Bullock,7,198.12,0.7701666666666668
600,Trey Burke,7,182.88,0.8042500000000001
602,Alec Burks,9,198.12,0.8076666666666668
625,Jimmy Butler,9,200.66,0.8333333333333331
639,Bruno Caboclo,6,205.74,0.7945714285714286
649,Kentavious Caldwell-Pope,7,195.58,0.803625
663,Vlatko Čančar,1,203.2,1.0
665,Clint Capela,6,208.28,0.527
698,Jevon Carter,2,185.42000000000002,0.8883333333333333
703,Wendell Carter,2,208.28,0.755
704,Michael Carter-Williams,7,195.58,0.7099166666666665
707,Alex Caruso,3,193.04,0.7577499999999999
717,Willie Cauley-Stein,5,213.36,0.6052500000000001
752,Chris Chiozza,2,180.34,0.9046666666666666
755,Marquese Chriss,4,205.74,0.679
769,Gary Clark,2,198.12,0.9228
773,Brandon Clarke,1,203.2,0.6295
775,Jordan Clarkson,6,193.04,0.8320909090909091
793,Amir Coffey,1,200.66,0.47250000000000003
812,John Collins,3,205.74,0.7735
831,Mike Conley,13,185.42000000000002,0.8084285714285714
834,Pat Connaughton,5,195.58,0.8531666666666666
848,Quinn Cook,4,185.42000000000002,0.6145714285714287
878,DeMarcus Cousins,10,208.28,0.7407499999999999
880,Robert Covington,7,200.66,0.8052727272727271
886,Torrey Craig,3,200.66,0.6466666666666666
914,Jae Crowder,8,198.12,0.7844
916,Jarrett Culver,1,198.12,0.534
934,Seth Curry,7,187.96,0.8707999999999998
935,Stephen Curry,11,190.5,0.9076666666666667
968,Anthony Davis,8,208.28,0.7873333333333333
982,Ed Davis,10,205.74,0.6050769230769231
1003,Terence Davis,1,193.04,0.8485
1027,DeMar DeRozan,11,198.12,0.8290833333333335
1058,Donte DiVincenzo,2,193.04,0.7719999999999999
1061,Hamidou Diallo,2,195.58,0.598
1074,Gorgui Dieng,7,208.28,0.7969999999999999
1086,Spencer Dinwiddie,6,195.58,0.8109999999999999
1098,Luka Dončić,2,200.66,0.747
1108,Luguentz Dort,1,190.5,0.775
1109,Damyean Dotson,3,195.58,0.6937499999999999
1118,Sekou Doumbouya,1,203.2,0.7055
1126,PJ Dozier,3,198.12,0.648
1128,Goran Dragić,12,190.5,0.7485294117647059
1140,Andre Drummond,8,208.28,0.48836363636363633
1146,Jared Dudley,13,198.12,0.7322000000000001
1165,Kevin Durant,13,208.28,0.8780769230769229
1200,Carsen Edwards,1,180.34,0.7170000000000001
1223,Wayne Ellington,11,193.04,0.844125
1240,Joel Embiid,4,213.36,0.796
1253,James Ennis,6,198.12,0.7752666666666667
1263,Drew Eubanks,2,205.74,0.7883333333333334
1278,Dante Exum,6,195.58,0.749125
1284,Tacko Fall,1,226.06,0.4165
1295,Derrick Favors,10,203.2,0.6390769230769231
1305,Cristiano Felício,5,210.82,0.6656666666666666
1313,Terrance Ferguson,3,198.12,0.7916666666666666
1315,Bruno Fernando,1,205.74,0.4845
1320,Yogi Ferrell,4,182.88,0.6974285714285715
1334,Dorian Finney-Smith,4,200.66,0.7550000000000001
